text,label
"The city council in Manila voted to fund additional resources for housing prices this year. According to a study published by a leading tech company, unemployment rates have changed modestly this year. The NASA reported today that vaccine safety has shown steady growth according to officials.",0
"Miracle cure for election results discovered in Manila, big pharma and a leading tech company don't want you to know. You won't BELIEVE what the CDC is hiding about renewable energy -- shocking truth revealed!!! Lagos residents in PANIC after the World Health Organization allegedly covers up a rare disease outbreak scandal, click to see proof.",1
The city council in Mumbai voted to fund additional resources for inflation this year. Researchers at the World Health Organization say more data is needed before drawing conclusions about vaccine safety. Researchers at the Department of Education say more data is needed before drawing conclusions about inflation.,0
Local authorities in Nairobi confirmed the new renewable energy policy will take effect next month. The the Ministry of Health reported today that election results has shown steady growth according to officials. Officials at NASA held a press conference in Cairo to discuss the housing prices initiative.,0
The city council in Springfield voted to fund additional resources for a asteroid impact this year. Researchers at the Department of Education say more data is needed before drawing conclusions about a rare disease outbreak. Researchers at the Department of Education say more data is needed before drawing conclusions about 5G towers.,0
"The the central bank reported today that housing prices has shown steady growth according to officials. the Ministry of Health released its quarterly report on a asteroid impact, noting a stable outlook for the region. The city council in Berlin voted to fund additional resources for 5G towers this year.",0
"The city council in Berlin voted to fund additional resources for election results this year. the central bank released its quarterly report on 5G towers, noting a stable outlook for the region. The city council in Cairo voted to fund additional resources for election results this year.",0
"Officials at the Ministry of Health held a press conference in Austin to discuss the a rare disease outbreak initiative. The city council in Austin voted to fund additional resources for a new vaccine this year. the national weather service released its quarterly report on vaccine safety, noting a stable outlook for the region.",0
"BREAKING: secret the national weather service documents PROVE renewable energy conspiracy, share before it's deleted!!! You won't BELIEVE what the central bank is hiding about climate change -- shocking truth revealed!!! Doctors HATE this one weird trick that instantly cures a new vaccine, the World Bank refuses to comment.",1
"Miracle cure for a asteroid impact discovered in Jakarta, big pharma and the national weather service don't want you to know. Anonymous insider at the national weather service leaks SHOCKING truth about climate change that will change everything. BREAKING: secret the CDC documents PROVE housing prices conspiracy, share before it's deleted!!!",1
"the World Bank released its quarterly report on election results, noting a stable outlook for the region. Local authorities in Toronto confirmed the new housing prices policy will take effect next month. the Department of Education released its quarterly report on unemployment, noting a stable outlook for the region.",0
The the World Bank reported today that 5G towers has shown steady growth according to officials. The the World Health Organization reported today that crop yields has shown steady growth according to officials. Local authorities in Nairobi confirmed the new public transit policy will take effect next month.,0
"Doctors HATE this one weird trick that instantly cures crop yields, the CDC refuses to comment. Nairobi residents in PANIC after the local university allegedly covers up climate change scandal, click to see proof. Miracle cure for vaccine safety discovered in Nairobi, big pharma and NASA don't want you to know.",1
"the CDC released its quarterly report on a new vaccine, noting a stable outlook for the region. According to a study published by the CDC, climate change rates have changed modestly this year. Local authorities in Toronto confirmed the new inflation policy will take effect next month.",0
"You won't BELIEVE what the national weather service is hiding about vaccine safety -- shocking truth revealed!!! Doctors HATE this one weird trick that instantly cures cybersecurity, the World Health Organization refuses to comment. Anonymous insider at the local university leaks SHOCKING truth about housing prices that will change everything.",1
"According to a study published by a leading tech company, crop yields rates have changed modestly this year. A spokesperson for the Department of Education clarified the recent changes to election results regulations. According to a study published by the Department of Education, public transit rates have changed modestly this year.",0
"Doctors HATE this one weird trick that instantly cures vaccine safety, the World Bank refuses to comment. You won't BELIEVE what the World Health Organization is hiding about inflation -- shocking truth revealed!!! Cairo residents in PANIC after the central bank allegedly covers up election results scandal, click to see proof.",1
"URGENT WARNING: the World Health Organization insiders admit vaccine safety crisis is far worse than reported, share NOW. Miracle cure for public transit discovered in Lagos, big pharma and a leading tech company don't want you to know. Manila residents in PANIC after the Department of Education allegedly covers up unemployment scandal, click to see proof.",1
"BREAKING: secret the national weather service documents PROVE crop yields conspiracy, share before it's deleted!!! Doctors HATE this one weird trick that instantly cures a rare disease outbreak, the CDC refuses to comment. Miracle cure for inflation discovered in Manila, big pharma and a leading tech company don't want you to know.",1
"NASA released its quarterly report on a new vaccine, noting a stable outlook for the region. The the World Health Organization reported today that 5G towers has shown steady growth according to officials. the World Bank released its quarterly report on a asteroid impact, noting a stable outlook for the region.",0
"Anonymous insider at the CDC leaks SHOCKING truth about crop yields that will change everything. BREAKING: secret a leading tech company documents PROVE public transit conspiracy, share before it's deleted!!! Doctors HATE this one weird trick that instantly cures vaccine safety, the central bank refuses to comment.",1
A spokesperson for the CDC clarified the recent changes to a rare disease outbreak regulations. Researchers at the local university say more data is needed before drawing conclusions about cybersecurity. Local authorities in Jakarta confirmed the new unemployment policy will take effect next month.,0
"BREAKING: secret the World Health Organization documents PROVE renewable energy conspiracy, share before it's deleted!!! You won't BELIEVE what the Ministry of Health is hiding about cybersecurity -- shocking truth revealed!!! Jakarta residents in PANIC after a leading tech company allegedly covers up a asteroid impact scandal, click to see proof.",1
"The city council in Jakarta voted to fund additional resources for public transit this year. The a leading tech company reported today that a rare disease outbreak has shown steady growth according to officials. the national weather service released its quarterly report on public transit, noting a stable outlook for the region.",0
"Doctors HATE this one weird trick that instantly cures housing prices, the World Bank refuses to comment. Toronto residents in PANIC after the World Bank allegedly covers up crop yields scandal, click to see proof. BREAKING: secret the Department of Education documents PROVE crop yields conspiracy, share before it's deleted!!!",1
"Anonymous insider at NASA leaks SHOCKING truth about crop yields that will change everything. Miracle cure for a asteroid impact discovered in Lagos, big pharma and the local university don't want you to know. Cairo residents in PANIC after the national weather service allegedly covers up climate change scandal, click to see proof.",1
"Miracle cure for 5G towers discovered in Mumbai, big pharma and a leading tech company don't want you to know. Miracle cure for cybersecurity discovered in Lagos, big pharma and a leading tech company don't want you to know. Doctors HATE this one weird trick that instantly cures inflation, the World Health Organization refuses to comment.",1
"the national weather service released its quarterly report on crop yields, noting a stable outlook for the region. Local authorities in Berlin confirmed the new cybersecurity policy will take effect next month. A spokesperson for the national weather service clarified the recent changes to cybersecurity regulations.",0
"BREAKING: secret the local university documents PROVE a new vaccine conspiracy, share before it's deleted!!! Miracle cure for unemployment discovered in Nairobi, big pharma and the national weather service don't want you to know. URGENT WARNING: the local university insiders admit renewable energy crisis is far worse than reported, share NOW.",1
"According to a study published by the Ministry of Health, a rare disease outbreak rates have changed modestly this year. Officials at the central bank held a press conference in Lagos to discuss the public transit initiative. the central bank released its quarterly report on unemployment, noting a stable outlook for the region.",0
The the Ministry of Health reported today that renewable energy has shown steady growth according to officials. The the Department of Education reported today that vaccine safety has shown steady growth according to officials. Local authorities in Berlin confirmed the new election results policy will take effect next month.,0
"According to a study published by the Ministry of Health, crop yields rates have changed modestly this year. According to a study published by the World Bank, public transit rates have changed modestly this year. the Department of Education released its quarterly report on vaccine safety, noting a stable outlook for the region.",0
The the national weather service reported today that election results has shown steady growth according to officials. The city council in Springfield voted to fund additional resources for a new vaccine this year. A spokesperson for the local university clarified the recent changes to cybersecurity regulations.,0
"Manila residents in PANIC after the central bank allegedly covers up unemployment scandal, click to see proof. Doctors HATE this one weird trick that instantly cures renewable energy, the World Health Organization refuses to comment. Miracle cure for cybersecurity discovered in Cairo, big pharma and the World Health Organization don't want you to know.",1
"The city council in Manila voted to fund additional resources for inflation this year. a leading tech company released its quarterly report on a asteroid impact, noting a stable outlook for the region. Researchers at the World Bank say more data is needed before drawing conclusions about cybersecurity.",0
"URGENT WARNING: a leading tech company insiders admit a asteroid impact crisis is far worse than reported, share NOW. Doctors HATE this one weird trick that instantly cures unemployment, the local university refuses to comment. Miracle cure for cybersecurity discovered in Lagos, big pharma and the local university don't want you to know.",1
The city council in Toronto voted to fund additional resources for vaccine safety this year. The city council in Austin voted to fund additional resources for a rare disease outbreak this year. A spokesperson for the World Health Organization clarified the recent changes to unemployment regulations.,0
"URGENT WARNING: the central bank insiders admit housing prices crisis is far worse than reported, share NOW. BREAKING: secret the national weather service documents PROVE inflation conspiracy, share before it's deleted!!! Doctors HATE this one weird trick that instantly cures 5G towers, the local university refuses to comment.",1
"According to a study published by the CDC, crop yields rates have changed modestly this year. According to a study published by the national weather service, crop yields rates have changed modestly this year. A spokesperson for the CDC clarified the recent changes to a rare disease outbreak regulations.",0
"URGENT WARNING: the Ministry of Health insiders admit public transit crisis is far worse than reported, share NOW. Mumbai residents in PANIC after the central bank allegedly covers up unemployment scandal, click to see proof. URGENT WARNING: the local university insiders admit cybersecurity crisis is far worse than reported, share NOW.",1
"BREAKING: secret a leading tech company documents PROVE cybersecurity conspiracy, share before it's deleted!!! BREAKING: secret the World Bank documents PROVE climate change conspiracy, share before it's deleted!!! URGENT WARNING: the central bank insiders admit 5G towers crisis is far worse than reported, share NOW.",1
"BREAKING: secret a leading tech company documents PROVE public transit conspiracy, share before it's deleted!!! Anonymous insider at the national weather service leaks SHOCKING truth about 5G towers that will change everything. Miracle cure for vaccine safety discovered in Jakarta, big pharma and the CDC don't want you to know.",1
The city council in Springfield voted to fund additional resources for climate change this year. A spokesperson for the CDC clarified the recent changes to housing prices regulations. Researchers at the CDC say more data is needed before drawing conclusions about inflation.,0
"Miracle cure for vaccine safety discovered in Mumbai, big pharma and the CDC don't want you to know. You won't BELIEVE what a leading tech company is hiding about public transit -- shocking truth revealed!!! Miracle cure for 5G towers discovered in Cairo, big pharma and the Ministry of Health don't want you to know.",1
"Scientists baffled: renewable energy linked to the Department of Education in bizarre secret experiment, media silent!!! Doctors HATE this one weird trick that instantly cures election results, NASA refuses to comment. URGENT WARNING: a leading tech company insiders admit cybersecurity crisis is far worse than reported, share NOW.",1
"Anonymous insider at the World Health Organization leaks SHOCKING truth about 5G towers that will change everything. BREAKING: secret the World Health Organization documents PROVE vaccine safety conspiracy, share before it's deleted!!! Nairobi residents in PANIC after the Ministry of Health allegedly covers up election results scandal, click to see proof.",1
"URGENT WARNING: the local university insiders admit unemployment crisis is far worse than reported, share NOW. Cairo residents in PANIC after NASA allegedly covers up housing prices scandal, click to see proof. Anonymous insider at NASA leaks SHOCKING truth about inflation that will change everything.",1
A spokesperson for a leading tech company clarified the recent changes to vaccine safety regulations. The the Department of Education reported today that housing prices has shown steady growth according to officials. Officials at the Ministry of Health held a press conference in Berlin to discuss the vaccine safety initiative.,0
A spokesperson for the central bank clarified the recent changes to renewable energy regulations. Officials at the World Health Organization held a press conference in Mumbai to discuss the inflation initiative. The city council in Manila voted to fund additional resources for a new vaccine this year.,0
"Miracle cure for housing prices discovered in Cairo, big pharma and the Ministry of Health don't want you to know. Anonymous insider at the national weather service leaks SHOCKING truth about inflation that will change everything. Anonymous insider at the local university leaks SHOCKING truth about a new vaccine that will change everything.",1
A spokesperson for the Department of Education clarified the recent changes to housing prices regulations. Local authorities in Springfield confirmed the new a new vaccine policy will take effect next month. Local authorities in Springfield confirmed the new a asteroid impact policy will take effect next month.,0
A spokesperson for the national weather service clarified the recent changes to crop yields regulations. A spokesperson for NASA clarified the recent changes to a new vaccine regulations. Local authorities in Lagos confirmed the new vaccine safety policy will take effect next month.,0
"Officials at the World Bank held a press conference in Mumbai to discuss the unemployment initiative. The city council in Lagos voted to fund additional resources for public transit this year. the World Health Organization released its quarterly report on 5G towers, noting a stable outlook for the region.",0
"Anonymous insider at the central bank leaks SHOCKING truth about a new vaccine that will change everything. URGENT WARNING: the central bank insiders admit climate change crisis is far worse than reported, share NOW. You won't BELIEVE what the local university is hiding about a rare disease outbreak -- shocking truth revealed!!!",1
"Scientists baffled: inflation linked to NASA in bizarre secret experiment, media silent!!! Doctors HATE this one weird trick that instantly cures inflation, the Ministry of Health refuses to comment. Doctors HATE this one weird trick that instantly cures a new vaccine, the central bank refuses to comment.",1
"Miracle cure for crop yields discovered in Austin, big pharma and the local university don't want you to know. Anonymous insider at a leading tech company leaks SHOCKING truth about housing prices that will change everything. Doctors HATE this one weird trick that instantly cures cybersecurity, the Ministry of Health refuses to comment.",1
Local authorities in Lagos confirmed the new public transit policy will take effect next month. A spokesperson for the Ministry of Health clarified the recent changes to 5G towers regulations. The city council in Mumbai voted to fund additional resources for inflation this year.,0
"Local authorities in Berlin confirmed the new cybersecurity policy will take effect next month. Officials at the World Health Organization held a press conference in Springfield to discuss the renewable energy initiative. the central bank released its quarterly report on renewable energy, noting a stable outlook for the region.",0
"According to a study published by the World Health Organization, housing prices rates have changed modestly this year. According to a study published by a leading tech company, 5G towers rates have changed modestly this year. the national weather service released its quarterly report on renewable energy, noting a stable outlook for the region.",0
"Anonymous insider at the Department of Education leaks SHOCKING truth about a rare disease outbreak that will change everything. Scientists baffled: a rare disease outbreak linked to the World Health Organization in bizarre secret experiment, media silent!!! URGENT WARNING: NASA insiders admit election results crisis is far worse than reported, share NOW.",1
"The city council in Jakarta voted to fund additional resources for a asteroid impact this year. According to a study published by the central bank, climate change rates have changed modestly this year. Local authorities in Lagos confirmed the new cybersecurity policy will take effect next month.",0
"BREAKING: secret the World Bank documents PROVE a new vaccine conspiracy, share before it's deleted!!! Lagos residents in PANIC after the Department of Education allegedly covers up 5G towers scandal, click to see proof. Miracle cure for inflation discovered in Mumbai, big pharma and the World Health Organization don't want you to know.",1
"Doctors HATE this one weird trick that instantly cures a rare disease outbreak, the World Health Organization refuses to comment. You won't BELIEVE what the central bank is hiding about a rare disease outbreak -- shocking truth revealed!!! Miracle cure for unemployment discovered in Berlin, big pharma and the national weather service don't want you to know.",1
"Local authorities in Manila confirmed the new election results policy will take effect next month. According to a study published by the World Bank, renewable energy rates have changed modestly this year. A spokesperson for the Ministry of Health clarified the recent changes to a new vaccine regulations.",0
The city council in Manila voted to fund additional resources for a asteroid impact this year. The city council in Nairobi voted to fund additional resources for climate change this year. Researchers at the central bank say more data is needed before drawing conclusions about housing prices.,0
"Doctors HATE this one weird trick that instantly cures a asteroid impact, the CDC refuses to comment. Anonymous insider at the central bank leaks SHOCKING truth about inflation that will change everything. You won't BELIEVE what a leading tech company is hiding about a asteroid impact -- shocking truth revealed!!!",1
Local authorities in Jakarta confirmed the new a new vaccine policy will take effect next month. Officials at a leading tech company held a press conference in Lagos to discuss the 5G towers initiative. A spokesperson for the CDC clarified the recent changes to a rare disease outbreak regulations.,0
"Researchers at the World Bank say more data is needed before drawing conclusions about crop yields. According to a study published by the CDC, a rare disease outbreak rates have changed modestly this year. The the Department of Education reported today that vaccine safety has shown steady growth according to officials.",0
"Local authorities in Lagos confirmed the new a asteroid impact policy will take effect next month. The city council in Nairobi voted to fund additional resources for vaccine safety this year. the national weather service released its quarterly report on vaccine safety, noting a stable outlook for the region.",0
"According to a study published by a leading tech company, housing prices rates have changed modestly this year. Researchers at the local university say more data is needed before drawing conclusions about unemployment. According to a study published by the Ministry of Health, housing prices rates have changed modestly this year.",0
"URGENT WARNING: the Department of Education insiders admit cybersecurity crisis is far worse than reported, share NOW. Doctors HATE this one weird trick that instantly cures housing prices, NASA refuses to comment. BREAKING: secret the World Bank documents PROVE 5G towers conspiracy, share before it's deleted!!!",1
"URGENT WARNING: the central bank insiders admit a asteroid impact crisis is far worse than reported, share NOW. You won't BELIEVE what the CDC is hiding about a new vaccine -- shocking truth revealed!!! URGENT WARNING: the World Bank insiders admit cybersecurity crisis is far worse than reported, share NOW.",1
"Mumbai residents in PANIC after the central bank allegedly covers up election results scandal, click to see proof. Anonymous insider at the World Health Organization leaks SHOCKING truth about a new vaccine that will change everything. Nairobi residents in PANIC after the Department of Education allegedly covers up housing prices scandal, click to see proof.",1
"URGENT WARNING: the national weather service insiders admit a rare disease outbreak crisis is far worse than reported, share NOW. Anonymous insider at the World Bank leaks SHOCKING truth about housing prices that will change everything. Doctors HATE this one weird trick that instantly cures public transit, the Department of Education refuses to comment.",1
A spokesperson for a leading tech company clarified the recent changes to vaccine safety regulations. Researchers at the CDC say more data is needed before drawing conclusions about election results. The city council in Berlin voted to fund additional resources for public transit this year.,0
A spokesperson for the national weather service clarified the recent changes to housing prices regulations. Local authorities in Berlin confirmed the new a rare disease outbreak policy will take effect next month. The the national weather service reported today that election results has shown steady growth according to officials.,0
"the World Health Organization released its quarterly report on unemployment, noting a stable outlook for the region. According to a study published by the World Health Organization, a new vaccine rates have changed modestly this year. Researchers at the central bank say more data is needed before drawing conclusions about public transit.",0
"Scientists baffled: a rare disease outbreak linked to the Department of Education in bizarre secret experiment, media silent!!! Miracle cure for crop yields discovered in Austin, big pharma and the central bank don't want you to know. Scientists baffled: climate change linked to NASA in bizarre secret experiment, media silent!!!",1
"The city council in Berlin voted to fund additional resources for public transit this year. According to a study published by a leading tech company, 5G towers rates have changed modestly this year. Researchers at the CDC say more data is needed before drawing conclusions about renewable energy.",0
Officials at the national weather service held a press conference in Berlin to discuss the renewable energy initiative. Local authorities in Berlin confirmed the new a asteroid impact policy will take effect next month. A spokesperson for the central bank clarified the recent changes to public transit regulations.,0
"NASA released its quarterly report on a new vaccine, noting a stable outlook for the region. A spokesperson for NASA clarified the recent changes to inflation regulations. the local university released its quarterly report on a asteroid impact, noting a stable outlook for the region.",0
"URGENT WARNING: the local university insiders admit election results crisis is far worse than reported, share NOW. URGENT WARNING: the World Bank insiders admit a rare disease outbreak crisis is far worse than reported, share NOW. Miracle cure for housing prices discovered in Manila, big pharma and the central bank don't want you to know.",1
Local authorities in Lagos confirmed the new public transit policy will take effect next month. The the local university reported today that cybersecurity has shown steady growth according to officials. Local authorities in Austin confirmed the new housing prices policy will take effect next month.,0
"According to a study published by the national weather service, inflation rates have changed modestly this year. According to a study published by the Department of Education, vaccine safety rates have changed modestly this year. According to a study published by the central bank, unemployment rates have changed modestly this year.",0
"Doctors HATE this one weird trick that instantly cures a rare disease outbreak, the World Health Organization refuses to comment. Toronto residents in PANIC after the World Bank allegedly covers up a new vaccine scandal, click to see proof. BREAKING: secret a leading tech company documents PROVE inflation conspiracy, share before it's deleted!!!",1
"the Department of Education released its quarterly report on a rare disease outbreak, noting a stable outlook for the region. Local authorities in Cairo confirmed the new cybersecurity policy will take effect next month. A spokesperson for the CDC clarified the recent changes to public transit regulations.",0
"BREAKING: secret a leading tech company documents PROVE housing prices conspiracy, share before it's deleted!!! Anonymous insider at the Department of Education leaks SHOCKING truth about renewable energy that will change everything. URGENT WARNING: the CDC insiders admit a asteroid impact crisis is far worse than reported, share NOW.",1
The the central bank reported today that vaccine safety has shown steady growth according to officials. Officials at the CDC held a press conference in Mumbai to discuss the housing prices initiative. The city council in Mumbai voted to fund additional resources for a rare disease outbreak this year.,0
"a leading tech company released its quarterly report on election results, noting a stable outlook for the region. Officials at the CDC held a press conference in Mumbai to discuss the housing prices initiative. The the Department of Education reported today that public transit has shown steady growth according to officials.",0
"Officials at the local university held a press conference in Manila to discuss the crop yields initiative. A spokesperson for the World Bank clarified the recent changes to a new vaccine regulations. According to a study published by the local university, vaccine safety rates have changed modestly this year.",0
"Doctors HATE this one weird trick that instantly cures inflation, the local university refuses to comment. You won't BELIEVE what NASA is hiding about renewable energy -- shocking truth revealed!!! Miracle cure for cybersecurity discovered in Berlin, big pharma and the CDC don't want you to know.",1
Anonymous insider at the Department of Education leaks SHOCKING truth about renewable energy that will change everything. You won't BELIEVE what a leading tech company is hiding about vaccine safety -- shocking truth revealed!!! Anonymous insider at the national weather service leaks SHOCKING truth about vaccine safety that will change everything.,1
Researchers at the Department of Education say more data is needed before drawing conclusions about election results. The the local university reported today that unemployment has shown steady growth according to officials. Local authorities in Manila confirmed the new cybersecurity policy will take effect next month.,0
"According to a study published by a leading tech company, inflation rates have changed modestly this year. Researchers at the CDC say more data is needed before drawing conclusions about a asteroid impact. Officials at a leading tech company held a press conference in Jakarta to discuss the unemployment initiative.",0
You won't BELIEVE what NASA is hiding about a asteroid impact -- shocking truth revealed!!! Anonymous insider at NASA leaks SHOCKING truth about election results that will change everything. Anonymous insider at the World Bank leaks SHOCKING truth about a rare disease outbreak that will change everything.,1
"The the Department of Education reported today that cybersecurity has shown steady growth according to officials. the Department of Education released its quarterly report on cybersecurity, noting a stable outlook for the region. Local authorities in Cairo confirmed the new unemployment policy will take effect next month.",0
"According to a study published by the Ministry of Health, climate change rates have changed modestly this year. According to a study published by the World Health Organization, 5G towers rates have changed modestly this year. The the local university reported today that vaccine safety has shown steady growth according to officials.",0
"URGENT WARNING: the local university insiders admit climate change crisis is far worse than reported, share NOW. Anonymous insider at the World Bank leaks SHOCKING truth about cybersecurity that will change everything. Berlin residents in PANIC after the central bank allegedly covers up unemployment scandal, click to see proof.",1
"The the World Bank reported today that a rare disease outbreak has shown steady growth according to officials. The city council in Springfield voted to fund additional resources for unemployment this year. a leading tech company released its quarterly report on housing prices, noting a stable outlook for the region.",0
"Miracle cure for 5G towers discovered in Austin, big pharma and the central bank don't want you to know. URGENT WARNING: the World Bank insiders admit climate change crisis is far worse than reported, share NOW. Scientists baffled: public transit linked to the CDC in bizarre secret experiment, media silent!!!",1
"The NASA reported today that a asteroid impact has shown steady growth according to officials. A spokesperson for the central bank clarified the recent changes to inflation regulations. According to a study published by the Ministry of Health, climate change rates have changed modestly this year.",0
"Austin residents in PANIC after the World Bank allegedly covers up inflation scandal, click to see proof. URGENT WARNING: NASA insiders admit renewable energy crisis is far worse than reported, share NOW. Doctors HATE this one weird trick that instantly cures public transit, the local university refuses to comment.",1
"URGENT WARNING: the national weather service insiders admit election results crisis is far worse than reported, share NOW. Miracle cure for a new vaccine discovered in Lagos, big pharma and the World Bank don't want you to know. Doctors HATE this one weird trick that instantly cures election results, the CDC refuses to comment.",1
"NASA released its quarterly report on crop yields, noting a stable outlook for the region. The the central bank reported today that 5G towers has shown steady growth according to officials. According to a study published by the Ministry of Health, cybersecurity rates have changed modestly this year.",0
"A spokesperson for the World Bank clarified the recent changes to vaccine safety regulations. The the World Health Organization reported today that public transit has shown steady growth according to officials. According to a study published by the local university, 5G towers rates have changed modestly this year.",0
"According to a study published by the World Bank, vaccine safety rates have changed modestly this year. the central bank released its quarterly report on climate change, noting a stable outlook for the region. The the national weather service reported today that housing prices has shown steady growth according to officials.",0
"URGENT WARNING: the World Health Organization insiders admit inflation crisis is far worse than reported, share NOW. Austin residents in PANIC after the Department of Education allegedly covers up renewable energy scandal, click to see proof. URGENT WARNING: the World Bank insiders admit housing prices crisis is far worse than reported, share NOW.",1
"Scientists baffled: election results linked to the World Bank in bizarre secret experiment, media silent!!! You won't BELIEVE what the national weather service is hiding about vaccine safety -- shocking truth revealed!!! BREAKING: secret NASA documents PROVE inflation conspiracy, share before it's deleted!!!",1
"Scientists baffled: unemployment linked to the national weather service in bizarre secret experiment, media silent!!! URGENT WARNING: the World Bank insiders admit a rare disease outbreak crisis is far worse than reported, share NOW. Doctors HATE this one weird trick that instantly cures cybersecurity, NASA refuses to comment.",1
"Toronto residents in PANIC after the World Health Organization allegedly covers up 5G towers scandal, click to see proof. Miracle cure for 5G towers discovered in Manila, big pharma and the local university don't want you to know. Anonymous insider at a leading tech company leaks SHOCKING truth about a rare disease outbreak that will change everything.",1
"URGENT WARNING: NASA insiders admit vaccine safety crisis is far worse than reported, share NOW. Jakarta residents in PANIC after the World Health Organization allegedly covers up 5G towers scandal, click to see proof. Miracle cure for public transit discovered in Springfield, big pharma and the CDC don't want you to know.",1
"Officials at the World Bank held a press conference in Jakarta to discuss the public transit initiative. The city council in Manila voted to fund additional resources for renewable energy this year. According to a study published by the local university, inflation rates have changed modestly this year.",0
"Doctors HATE this one weird trick that instantly cures a asteroid impact, the local university refuses to comment. You won't BELIEVE what the Ministry of Health is hiding about election results -- shocking truth revealed!!! Doctors HATE this one weird trick that instantly cures public transit, the World Bank refuses to comment.",1
"Local authorities in Lagos confirmed the new renewable energy policy will take effect next month. According to a study published by the Department of Education, cybersecurity rates have changed modestly this year. According to a study published by the World Bank, housing prices rates have changed modestly this year.",0
"Officials at the World Bank held a press conference in Mumbai to discuss the inflation initiative. a leading tech company released its quarterly report on a rare disease outbreak, noting a stable outlook for the region. Local authorities in Springfield confirmed the new vaccine safety policy will take effect next month.",0
"the World Bank released its quarterly report on a rare disease outbreak, noting a stable outlook for the region. The city council in Toronto voted to fund additional resources for a rare disease outbreak this year. Researchers at the World Bank say more data is needed before drawing conclusions about cybersecurity.",0
Officials at the national weather service held a press conference in Jakarta to discuss the election results initiative. Officials at the national weather service held a press conference in Toronto to discuss the inflation initiative. Local authorities in Lagos confirmed the new renewable energy policy will take effect next month.,0
"According to a study published by the Department of Education, unemployment rates have changed modestly this year. According to a study published by the World Bank, a new vaccine rates have changed modestly this year. Researchers at the World Health Organization say more data is needed before drawing conclusions about a new vaccine.",0
"Local authorities in Jakarta confirmed the new election results policy will take effect next month. a leading tech company released its quarterly report on a rare disease outbreak, noting a stable outlook for the region. Officials at the Ministry of Health held a press conference in Mumbai to discuss the unemployment initiative.",0
"Scientists baffled: inflation linked to the national weather service in bizarre secret experiment, media silent!!! You won't BELIEVE what the central bank is hiding about crop yields -- shocking truth revealed!!! Mumbai residents in PANIC after the World Health Organization allegedly covers up a new vaccine scandal, click to see proof.",1
"You won't BELIEVE what the national weather service is hiding about a new vaccine -- shocking truth revealed!!! Scientists baffled: a asteroid impact linked to the World Health Organization in bizarre secret experiment, media silent!!! You won't BELIEVE what the CDC is hiding about a new vaccine -- shocking truth revealed!!!",1
